classe,precision,recall,f1-score,support
F,0.0012804097311139564,0.045454545454545456,0.0024906600249066002,22.0
N,0.9032025389497981,0.48898781630740396,0.6344750709363599,12804.0
Q,0.9416243654822335,0.6169623059866962,0.7454789015405224,1804.0
S,0.0016277807921866521,0.046875,0.003146303093864709,64.0
V,0.11819075712881022,0.5323294951284322,0.19343418088187964,1129.0
accuracy,0.5042659419831891,0.5042659419831891,0.5042659419831891,0.5042659419831891
macro avg,0.39318517041682854,0.34612183257541557,0.31580502329550664,15823.0
weighted avg,0.8466703770350992,0.5042659419831891,0.6122294188701544,15823.0
accuracy_geral,0.5042659419831891,0.5042659419831891,0.5042659419831891,15823.0
balanced_accuracy,0.34612183257541557,0.34612183257541557,0.34612183257541557,15823.0
